epoch,hit@1,hit@10,hit@20,hit@50,mrr@1,mrr@10,mrr@20,mrr@50,ndcg@1,ndcg@10,ndcg@20,ndcg@50,precision@1,precision@10,precision@20,precision@50,recall@1,recall@10,recall@20,recall@50,train_loss,valid_score
0,0.0061,0.0503,0.0912,0.1783,0.0061,0.0162,0.019,0.0217,0.0061,0.0241,0.0343,0.0515,0.0061,0.005,0.0046,0.0036,0.0061,0.0503,0.0912,0.1783,3567.8742,0.0241
1,0.0157,0.1177,0.1921,0.3417,0.0157,0.0398,0.0449,0.0495,0.0157,0.0578,0.0765,0.1059,0.0157,0.0118,0.0096,0.0068,0.0157,0.1177,0.1921,0.3417,3177.0215,0.0578
2,0.0222,0.1565,0.2485,0.4066,0.0222,0.0542,0.0605,0.0654,0.0222,0.0779,0.101,0.1321,0.0222,0.0156,0.0124,0.0081,0.0222,0.1565,0.2485,0.4066,2963.9877,0.0779
3,0.0262,0.1752,0.2786,0.4505,0.0262,0.0625,0.0697,0.0751,0.0262,0.0886,0.1147,0.1488,0.0262,0.0175,0.0139,0.009,0.0262,0.1752,0.2786,0.4505,2861.9869,0.0886
4,0.0288,0.1904,0.3051,0.472,0.0288,0.0675,0.0754,0.0807,0.0288,0.0959,0.1248,0.1579,0.0288,0.019,0.0153,0.0094,0.0288,0.1904,0.3051,0.472,2799.4368,0.0959
5,0.0278,0.2018,0.3144,0.4917,0.0278,0.0699,0.0776,0.0833,0.0278,0.1005,0.1288,0.164,0.0278,0.0202,0.0157,0.0098,0.0278,0.2018,0.3144,0.4917,2755.9793,0.1005
6,0.0276,0.2169,0.3295,0.4993,0.0276,0.0736,0.0814,0.0868,0.0276,0.1069,0.1352,0.169,0.0276,0.0217,0.0165,0.01,0.0276,0.2169,0.3295,0.4993,2723.804,0.1069
7,0.0286,0.2273,0.3386,0.5096,0.0286,0.0763,0.0838,0.0893,0.0286,0.1113,0.1392,0.1731,0.0286,0.0227,0.0169,0.0102,0.0286,0.2273,0.3386,0.5096,2699.5468,0.1113
8,0.0273,0.2305,0.3483,0.518,0.0273,0.0772,0.0853,0.0907,0.0273,0.1127,0.1424,0.1761,0.0273,0.023,0.0174,0.0104,0.0273,0.2305,0.3483,0.518,2680.0512,0.1127
9,0.0311,0.2358,0.3502,0.5227,0.0311,0.0804,0.0881,0.0936,0.0311,0.1164,0.1451,0.1793,0.0311,0.0236,0.0175,0.0105,0.0311,0.2358,0.3502,0.5227,2663.5933,0.1164
10,0.0325,0.2369,0.3518,0.5306,0.0325,0.0834,0.0912,0.097,0.0325,0.1191,0.148,0.1835,0.0325,0.0237,0.0176,0.0106,0.0325,0.2369,0.3518,0.5306,2649.8285,0.1191
11,0.0368,0.2414,0.3589,0.53,0.0368,0.0873,0.0954,0.1008,0.0368,0.1231,0.1527,0.1867,0.0368,0.0241,0.0179,0.0106,0.0368,0.2414,0.3589,0.53,2637.235,0.1231
12,0.0351,0.2487,0.3599,0.5387,0.0351,0.0887,0.0963,0.1021,0.0351,0.1259,0.154,0.1896,0.0351,0.0249,0.018,0.0108,0.0351,0.2487,0.3599,0.5387,2624.8551,0.1259
13,0.0399,0.2502,0.3669,0.5391,0.0399,0.0922,0.1002,0.1057,0.0399,0.129,0.1583,0.1926,0.0399,0.025,0.0183,0.0108,0.0399,0.2502,0.3669,0.5391,2612.1332,0.129
14,0.0402,0.2561,0.3687,0.5429,0.0402,0.0947,0.1025,0.1082,0.0402,0.1323,0.1607,0.1955,0.0402,0.0256,0.0184,0.0109,0.0402,0.2561,0.3687,0.5429,2600.2548,0.1323
15,0.0411,0.2636,0.3773,0.5493,0.0411,0.0972,0.105,0.1105,0.0411,0.1359,0.1646,0.1988,0.0411,0.0264,0.0189,0.011,0.0411,0.2636,0.3773,0.5493,2589.2296,0.1359
16,0.043,0.2685,0.3811,0.5488,0.043,0.0996,0.1073,0.1127,0.043,0.1389,0.1673,0.2006,0.043,0.0269,0.0191,0.011,0.043,0.2685,0.3811,0.5488,2579.1675,0.1389
17,0.0437,0.2642,0.382,0.552,0.0437,0.0992,0.1074,0.1128,0.0437,0.1377,0.1674,0.2012,0.0437,0.0264,0.0191,0.011,0.0437,0.2642,0.382,0.552,2570.504,0.1377
18,0.0477,0.27,0.3884,0.555,0.0477,0.1036,0.1116,0.1169,0.0477,0.1423,0.172,0.205,0.0477,0.027,0.0194,0.0111,0.0477,0.27,0.3884,0.555,2563.0202,0.1423
19,0.0478,0.2712,0.3823,0.5579,0.0478,0.1037,0.1113,0.1169,0.0478,0.1427,0.1706,0.2055,0.0478,0.0271,0.0191,0.0112,0.0478,0.2712,0.3823,0.5579,2556.4438,0.1427
20,0.0475,0.2684,0.3897,0.5548,0.0475,0.104,0.1124,0.1178,0.0475,0.1424,0.173,0.2059,0.0475,0.0268,0.0195,0.0111,0.0475,0.2684,0.3897,0.5548,2550.1479,0.1424
21,0.0492,0.275,0.3906,0.5598,0.0492,0.1065,0.1145,0.12,0.0492,0.1457,0.175,0.2087,0.0492,0.0275,0.0195,0.0112,0.0492,0.275,0.3906,0.5598,2544.2384,0.1457
22,0.0492,0.2745,0.3884,0.5586,0.0492,0.106,0.1138,0.1194,0.0492,0.1453,0.174,0.2079,0.0492,0.0275,0.0194,0.0112,0.0492,0.2745,0.3884,0.5586,2539.0684,0.1453
23,0.0522,0.276,0.3922,0.5651,0.0522,0.1087,0.1167,0.1222,0.0522,0.1476,0.1769,0.2112,0.0522,0.0276,0.0196,0.0113,0.0522,0.276,0.3922,0.5651,2534.0828,0.1476
24,0.0508,0.2818,0.393,0.5629,0.0508,0.1093,0.1169,0.1224,0.0508,0.1495,0.1775,0.2113,0.0508,0.0282,0.0197,0.0113,0.0508,0.2818,0.393,0.5629,2529.1721,0.1495
25,0.0541,0.2783,0.3974,0.5624,0.0541,0.1107,0.1189,0.1242,0.0541,0.1497,0.1798,0.2127,0.0541,0.0278,0.0199,0.0112,0.0541,0.2783,0.3974,0.5624,2525.3914,0.1497
26,0.0535,0.2791,0.3947,0.5613,0.0535,0.1106,0.1185,0.124,0.0535,0.1499,0.179,0.2123,0.0535,0.0279,0.0197,0.0112,0.0535,0.2791,0.3947,0.5613,2520.5543,0.1499
27,0.0508,0.2828,0.3957,0.5672,0.0508,0.1103,0.1181,0.1236,0.0508,0.1505,0.179,0.2131,0.0508,0.0283,0.0198,0.0113,0.0508,0.2828,0.3957,0.5672,2516.3094,0.1505
28,0.0543,0.2795,0.3978,0.5619,0.0543,0.1115,0.1197,0.1251,0.0543,0.1507,0.1806,0.2134,0.0543,0.0279,0.0199,0.0112,0.0543,0.2795,0.3978,0.5619,2512.0236,0.1507
29,0.0545,0.2843,0.401,0.5684,0.0545,0.1129,0.1209,0.1263,0.0545,0.1528,0.1822,0.2155,0.0545,0.0284,0.02,0.0114,0.0545,0.2843,0.401,0.5684,2508.7113,0.1528
30,0.0533,0.2841,0.3995,0.5704,0.0533,0.1124,0.1203,0.1258,0.0533,0.1524,0.1815,0.2155,0.0533,0.0284,0.02,0.0114,0.0533,0.2841,0.3995,0.5704,2504.9956,0.1524
31,0.054,0.2826,0.4022,0.5712,0.054,0.1127,0.121,0.1265,0.054,0.1523,0.1825,0.2162,0.054,0.0283,0.0201,0.0114,0.054,0.2826,0.4022,0.5712,2501.2534,0.1523
32,0.054,0.2859,0.405,0.5709,0.054,0.1144,0.1225,0.1279,0.054,0.1544,0.1845,0.2175,0.054,0.0286,0.0202,0.0114,0.054,0.2859,0.405,0.5709,2498.0562,0.1544
33,0.0575,0.2873,0.4048,0.5712,0.0575,0.1161,0.1241,0.1295,0.0575,0.1559,0.1855,0.2187,0.0575,0.0287,0.0202,0.0114,0.0575,0.2873,0.4048,0.5712,2494.2982,0.1559
34,0.0563,0.2851,0.4038,0.5737,0.0563,0.1154,0.1236,0.1291,0.0563,0.155,0.1849,0.2188,0.0563,0.0285,0.0202,0.0115,0.0563,0.2851,0.4038,0.5737,2490.9994,0.155
35,0.057,0.2882,0.4033,0.57,0.057,0.116,0.124,0.1294,0.057,0.1561,0.1852,0.2185,0.057,0.0288,0.0202,0.0114,0.057,0.2882,0.4033,0.57,2488.3276,0.1561
36,0.0588,0.2886,0.4013,0.573,0.0588,0.1162,0.1239,0.1295,0.0588,0.1562,0.1846,0.2189,0.0588,0.0289,0.0201,0.0115,0.0588,0.2886,0.4013,0.573,2485.4322,0.1562
37,0.0593,0.2909,0.406,0.573,0.0593,0.1171,0.1251,0.1304,0.0593,0.1575,0.1866,0.2198,0.0593,0.0291,0.0203,0.0115,0.0593,0.2909,0.406,0.573,2482.3277,0.1575
38,0.0591,0.2934,0.4053,0.571,0.0591,0.1173,0.125,0.1304,0.0591,0.1582,0.1864,0.2195,0.0591,0.0293,0.0203,0.0114,0.0591,0.2934,0.4053,0.571,2479.6889,0.1582
39,0.0581,0.2891,0.4076,0.5757,0.0581,0.1168,0.1249,0.1304,0.0581,0.1569,0.1868,0.2203,0.0581,0.0289,0.0204,0.0115,0.0581,0.2891,0.4076,0.5757,2477.6049,0.1569
40,0.0583,0.2873,0.406,0.573,0.0583,0.1164,0.1245,0.13,0.0583,0.1562,0.1861,0.2194,0.0583,0.0287,0.0203,0.0115,0.0583,0.2873,0.406,0.573,2474.9153,0.1562
41,0.0611,0.293,0.4063,0.5742,0.0611,0.1195,0.1272,0.1326,0.0611,0.1598,0.1883,0.2217,0.0611,0.0293,0.0203,0.0115,0.0611,0.293,0.4063,0.5742,2471.9171,0.1598
42,0.0604,0.2927,0.4086,0.578,0.0604,0.1184,0.1263,0.1318,0.0604,0.1589,0.1881,0.2218,0.0604,0.0293,0.0204,0.0116,0.0604,0.2927,0.4086,0.578,2470.3158,0.1589
43,0.0598,0.2911,0.4073,0.5732,0.0598,0.1178,0.1259,0.1313,0.0598,0.1581,0.1875,0.2207,0.0598,0.0291,0.0204,0.0115,0.0598,0.2911,0.4073,0.5732,2467.7891,0.1581
44,0.0579,0.2965,0.4098,0.5762,0.0579,0.1175,0.1253,0.1307,0.0579,0.1591,0.1877,0.2209,0.0579,0.0297,0.0205,0.0115,0.0579,0.2965,0.4098,0.5762,2465.307,0.1591
45,0.0588,0.2945,0.4099,0.5763,0.0588,0.1183,0.1262,0.1315,0.0588,0.1593,0.1883,0.2215,0.0588,0.0295,0.0205,0.0115,0.0588,0.2945,0.4099,0.5763,2463.1792,0.1593
46,0.0563,0.2909,0.4051,0.5704,0.0563,0.1158,0.1237,0.1292,0.0563,0.1566,0.1855,0.2186,0.0563,0.0291,0.0203,0.0114,0.0563,0.2909,0.4051,0.5704,2460.9627,0.1566
47,0.0596,0.2949,0.4075,0.5742,0.0596,0.1192,0.127,0.1323,0.0596,0.1601,0.1885,0.2217,0.0596,0.0295,0.0204,0.0115,0.0596,0.2949,0.4075,0.5742,2458.7845,0.1601
48,0.0613,0.2942,0.4109,0.5778,0.0613,0.1203,0.1283,0.1337,0.0613,0.1608,0.1902,0.2234,0.0613,0.0294,0.0205,0.0116,0.0613,0.2942,0.4109,0.5778,2456.4613,0.1608
49,0.0613,0.2945,0.4084,0.5733,0.0613,0.1198,0.1277,0.1331,0.0613,0.1605,0.1893,0.2222,0.0613,0.0295,0.0204,0.0115,0.0613,0.2945,0.4084,0.5733,2454.3078,0.1605
50,0.0609,0.297,0.4103,0.5776,0.0609,0.1205,0.1282,0.1337,0.0609,0.1616,0.1901,0.2235,0.0609,0.0297,0.0205,0.0116,0.0609,0.297,0.4103,0.5776,2452.7111,0.1616
51,0.0603,0.298,0.4131,0.574,0.0603,0.12,0.1279,0.1331,0.0603,0.1614,0.1904,0.2225,0.0603,0.0298,0.0207,0.0115,0.0603,0.298,0.4131,0.574,2450.7707,0.1614
52,0.0623,0.2965,0.4108,0.5727,0.0623,0.1205,0.1282,0.1335,0.0623,0.1614,0.1901,0.2224,0.0623,0.0297,0.0205,0.0115,0.0623,0.2965,0.4108,0.5727,2448.4851,0.1614
53,0.0636,0.2935,0.4093,0.575,0.0636,0.1207,0.1287,0.1341,0.0636,0.1609,0.1901,0.2233,0.0636,0.0294,0.0205,0.0115,0.0636,0.2935,0.4093,0.575,2447.0665,0.1609
