{'loss': 3.2, 'learning_rate': 0.00037617106486447833, 'epoch': 2.01}
{'loss': 3.1955, 'learning_rate': 0.0003768862189801902, 'epoch': 2.01}
{'loss': 3.1379, 'learning_rate': 0.0003776013730959022, 'epoch': 2.02}
{'loss': 3.1492, 'learning_rate': 0.0003783165272116141, 'epoch': 2.02}
{'loss': 3.1879, 'learning_rate': 0.0003790316813273261, 'epoch': 2.03}
{'loss': 3.2085, 'learning_rate': 0.00037974683544303797, 'epoch': 2.03}
{'loss': 3.2191, 'learning_rate': 0.0003804619895587499, 'epoch': 2.04}
{'loss': 3.2145, 'learning_rate': 0.0003811771436744619, 'epoch': 2.04}
{'loss': 3.1914, 'learning_rate': 0.0003818922977901738, 'epoch': 2.05}
{'loss': 3.1155, 'learning_rate': 0.00038260745190588574, 'epoch': 2.05}
{'loss': 3.1577, 'learning_rate': 0.00038332260602159766, 'epoch': 2.06}
{'loss': 3.1222, 'learning_rate': 0.0003840377601373096, 'epoch': 2.06}
{'loss': 3.0389, 'learning_rate': 0.0003847529142530216, 'epoch': 2.07}
{'loss': 3.052, 'learning_rate': 0.00038546806836873345, 'epoch': 2.08}
{'loss': 3.1087, 'learning_rate': 0.00038618322248444543, 'epoch': 2.08}
{'loss': 3.1292, 'learning_rate': 0.00038689837660015736, 'epoch': 2.09}
{'loss': 3.0296, 'learning_rate': 0.0003876135307158693, 'epoch': 2.09}
{'loss': 3.2035, 'learning_rate': 0.00038832868483158127, 'epoch': 2.1}
{'loss': 3.1303, 'learning_rate': 0.00038904383894729314, 'epoch': 2.1}
{'loss': 3.1909, 'learning_rate': 0.00038975899306300507, 'epoch': 2.11}
{'loss': 3.2176, 'learning_rate': 0.00039047414717871705, 'epoch': 2.11}
{'loss': 3.2949, 'learning_rate': 0.000391189301294429, 'epoch': 2.12}
{'loss': 3.3034, 'learning_rate': 0.0003919044554101409, 'epoch': 2.12}
{'loss': 3.351, 'learning_rate': 0.00039261960952585283, 'epoch': 2.13}
{'loss': 3.3154, 'learning_rate': 0.00039333476364156476, 'epoch': 2.13}
{'eval_loss': 3.922689199447632, 'eval_runtime': 10674.9745, 'eval_samples_per_second': 9.092, 'eval_steps_per_second': 0.024, 'epoch': 2.13}
{'loss': 3.3131, 'learning_rate': 0.00039404991775727674, 'epoch': 2.14}
{'loss': 3.3664, 'learning_rate': 0.0003947650718729886, 'epoch': 2.14}
{'loss': 3.1757, 'learning_rate': 0.0003954802259887006, 'epoch': 2.15}
{'loss': 3.3055, 'learning_rate': 0.00039619538010441253, 'epoch': 2.16}
{'loss': 3.2796, 'learning_rate': 0.00039691053422012446, 'epoch': 2.16}
{'loss': 3.2434, 'learning_rate': 0.0003976256883358364, 'epoch': 2.17}
{'loss': 3.1708, 'learning_rate': 0.0003983408424515483, 'epoch': 2.17}
{'loss': 2.968, 'learning_rate': 0.0003990559965672603, 'epoch': 2.18}
{'loss': 3.1113, 'learning_rate': 0.0003997711506829722, 'epoch': 2.18}
{'loss': 3.0881, 'learning_rate': 0.00039994596613347955, 'epoch': 2.19}
{'loss': 3.1513, 'learning_rate': 0.00039986650456506716, 'epoch': 2.19}
{'loss': 3.0772, 'learning_rate': 0.00039978704299665466, 'epoch': 2.2}
{'loss': 3.1601, 'learning_rate': 0.0003997075814282422, 'epoch': 2.2}
{'loss': 3.1929, 'learning_rate': 0.0003996281198598298, 'epoch': 2.21}
{'loss': 3.3422, 'learning_rate': 0.00039954865829141737, 'epoch': 2.21}
{'loss': 3.086, 'learning_rate': 0.00039946919672300497, 'epoch': 2.22}
{'loss': 2.869, 'learning_rate': 0.0003993897351545925, 'epoch': 2.23}
{'loss': 3.1682, 'learning_rate': 0.0003993102735861801, 'epoch': 2.23}
{'loss': 3.2321, 'learning_rate': 0.0003992308120177676, 'epoch': 2.24}
{'loss': 3.25, 'learning_rate': 0.0003991513504493552, 'epoch': 2.24}
{'loss': 3.1879, 'learning_rate': 0.00039907188888094273, 'epoch': 2.25}
{'loss': 3.2173, 'learning_rate': 0.00039899242731253034, 'epoch': 2.25}
{'loss': 3.2356, 'learning_rate': 0.0003989129657441179, 'epoch': 2.26}
{'loss': 3.2288, 'learning_rate': 0.00039883350417570544, 'epoch': 2.26}
{'loss': 3.2142, 'learning_rate': 0.000398754042607293, 'epoch': 2.27}
{'eval_loss': 3.9605491161346436, 'eval_runtime': 10772.011, 'eval_samples_per_second': 9.01, 'eval_steps_per_second': 0.023, 'epoch': 2.27}
{'loss': 3.3614, 'learning_rate': 0.00039867458103888054, 'epoch': 2.27}
{'loss': 3.2954, 'learning_rate': 0.00039859511947046815, 'epoch': 2.28}
{'loss': 3.4293, 'learning_rate': 0.0003985156579020557, 'epoch': 2.28}
{'loss': 3.3675, 'learning_rate': 0.00039843619633364325, 'epoch': 2.29}
{'loss': 3.2875, 'learning_rate': 0.00039835673476523086, 'epoch': 2.3}
{'loss': 3.3462, 'learning_rate': 0.00039827727319681835, 'epoch': 2.3}
{'loss': 3.4407, 'learning_rate': 0.0003981978116284059, 'epoch': 2.31}
{'loss': 3.2748, 'learning_rate': 0.0003981183500599935, 'epoch': 2.31}
{'loss': 3.3904, 'learning_rate': 0.00039803888849158106, 'epoch': 2.32}
{'loss': 3.3794, 'learning_rate': 0.0003979594269231686, 'epoch': 2.32}
{'loss': 3.38, 'learning_rate': 0.0003978799653547562, 'epoch': 2.33}
{'loss': 3.3288, 'learning_rate': 0.00039780050378634377, 'epoch': 2.33}
{'loss': 3.3489, 'learning_rate': 0.00039772104221793127, 'epoch': 2.34}
{'loss': 3.3326, 'learning_rate': 0.0003976415806495189, 'epoch': 2.34}
{'loss': 3.3997, 'learning_rate': 0.0003975621190811064, 'epoch': 2.35}
{'loss': 3.2809, 'learning_rate': 0.00039748265751269403, 'epoch': 2.35}
{'loss': 3.4065, 'learning_rate': 0.0003974031959442816, 'epoch': 2.36}
