{'loss': 3.2942, 'learning_rate': 0.0003887418849873259, 'epoch': 3.01}
{'loss': 3.2171, 'learning_rate': 0.0003886624234189135, 'epoch': 3.01}
{'loss': 3.1377, 'learning_rate': 0.00038858296185050105, 'epoch': 3.02}
{'loss': 3.1379, 'learning_rate': 0.00038850350028208855, 'epoch': 3.02}
{'loss': 3.1611, 'learning_rate': 0.00038842403871367615, 'epoch': 3.03}
{'loss': 3.1741, 'learning_rate': 0.0003883445771452637, 'epoch': 3.03}
{'loss': 3.1855, 'learning_rate': 0.00038826511557685125, 'epoch': 3.04}
{'loss': 3.1672, 'learning_rate': 0.00038818565400843886, 'epoch': 3.04}
{'loss': 3.1285, 'learning_rate': 0.0003881061924400264, 'epoch': 3.05}
{'loss': 3.0568, 'learning_rate': 0.00038802673087161396, 'epoch': 3.05}
{'loss': 3.0976, 'learning_rate': 0.0003879472693032015, 'epoch': 3.06}
{'loss': 3.0573, 'learning_rate': 0.00038786780773478907, 'epoch': 3.06}
{'loss': 2.9665, 'learning_rate': 0.00038778834616637667, 'epoch': 3.07}
{'loss': 2.978, 'learning_rate': 0.0003877088845979642, 'epoch': 3.08}
{'loss': 3.0235, 'learning_rate': 0.0003876294230295518, 'epoch': 3.08}
{'loss': 3.0598, 'learning_rate': 0.0003875499614611394, 'epoch': 3.09}
{'loss': 2.9443, 'learning_rate': 0.0003874704998927269, 'epoch': 3.09}
{'loss': 3.1175, 'learning_rate': 0.00038739103832431443, 'epoch': 3.1}
{'loss': 3.0513, 'learning_rate': 0.00038731157675590204, 'epoch': 3.1}
{'loss': 3.0944, 'learning_rate': 0.0003872321151874896, 'epoch': 3.11}
{'loss': 3.1264, 'learning_rate': 0.00038715265361907714, 'epoch': 3.11}
{'loss': 3.2064, 'learning_rate': 0.00038707319205066474, 'epoch': 3.12}
{'loss': 3.2067, 'learning_rate': 0.0003869937304822523, 'epoch': 3.12}
{'loss': 3.2533, 'learning_rate': 0.00038691426891383985, 'epoch': 3.13}
{'loss': 3.208, 'learning_rate': 0.0003868348073454274, 'epoch': 3.13}
{'eval_loss': 3.8127198219299316, 'eval_runtime': 12141.1705, 'eval_samples_per_second': 7.994, 'eval_steps_per_second': 0.021, 'epoch': 3.13}
{'loss': 3.2058, 'learning_rate': 0.00038675534577701495, 'epoch': 3.14}
{'loss': 3.2503, 'learning_rate': 0.00038667588420860256, 'epoch': 3.14}
{'loss': 3.0623, 'learning_rate': 0.0003865964226401901, 'epoch': 3.15}
{'loss': 3.1926, 'learning_rate': 0.00038651696107177766, 'epoch': 3.16}
{'loss': 3.1699, 'learning_rate': 0.0003864374995033652, 'epoch': 3.16}
{'loss': 3.1086, 'learning_rate': 0.00038635803793495276, 'epoch': 3.17}
{'loss': 3.0402, 'learning_rate': 0.0003862785763665403, 'epoch': 3.17}
