{'loss': 3.6014, 'learning_rate': 0.0003404133590788815, 'epoch': 2.01}
{'loss': 3.5501, 'learning_rate': 0.0003411285131945935, 'epoch': 2.01}
{'loss': 3.4793, 'learning_rate': 0.00034184366731030536, 'epoch': 2.02}
{'loss': 3.4917, 'learning_rate': 0.00034255882142601734, 'epoch': 2.02}
{'loss': 3.5071, 'learning_rate': 0.00034327397554172927, 'epoch': 2.03}
{'loss': 3.5079, 'learning_rate': 0.0003439891296574412, 'epoch': 2.03}
{'loss': 3.5149, 'learning_rate': 0.0003447042837731531, 'epoch': 2.04}
{'loss': 3.4995, 'learning_rate': 0.00034541943788886505, 'epoch': 2.04}
{'loss': 3.4591, 'learning_rate': 0.000346134592004577, 'epoch': 2.05}
{'loss': 3.4025, 'learning_rate': 0.00034684974612028896, 'epoch': 2.05}
{'loss': 3.434, 'learning_rate': 0.00034756490023600084, 'epoch': 2.06}
{'loss': 3.3992, 'learning_rate': 0.0003482800543517128, 'epoch': 2.06}
{'loss': 3.3124, 'learning_rate': 0.00034899520846742475, 'epoch': 2.07}
{'loss': 3.317, 'learning_rate': 0.0003497103625831367, 'epoch': 2.08}
{'loss': 3.3731, 'learning_rate': 0.0003504255166988486, 'epoch': 2.08}
{'loss': 3.3938, 'learning_rate': 0.00035114067081456053, 'epoch': 2.09}
{'loss': 3.2766, 'learning_rate': 0.0003518558249302725, 'epoch': 2.09}
{'loss': 3.4462, 'learning_rate': 0.00035257097904598444, 'epoch': 2.1}
{'loss': 3.3629, 'learning_rate': 0.0003532861331616963, 'epoch': 2.1}
{'loss': 3.4313, 'learning_rate': 0.0003540012872774083, 'epoch': 2.11}
{'loss': 3.4627, 'learning_rate': 0.0003547164413931202, 'epoch': 2.11}
{'loss': 3.5238, 'learning_rate': 0.0003554315955088322, 'epoch': 2.12}
{'loss': 3.5182, 'learning_rate': 0.0003561467496245441, 'epoch': 2.12}
{'loss': 3.557, 'learning_rate': 0.000356861903740256, 'epoch': 2.13}
{'loss': 3.5216, 'learning_rate': 0.000357577057855968, 'epoch': 2.13}
{'eval_loss': 3.987565279006958, 'eval_runtime': 15208.3312, 'eval_samples_per_second': 6.382, 'eval_steps_per_second': 0.017, 'epoch': 2.13}
{'loss': 3.5226, 'learning_rate': 0.0003582922119716799, 'epoch': 2.14}
{'loss': 3.5694, 'learning_rate': 0.00035900736608739185, 'epoch': 2.14}
{'loss': 3.3848, 'learning_rate': 0.0003597225202031038, 'epoch': 2.15}
{'loss': 3.506, 'learning_rate': 0.0003604376743188157, 'epoch': 2.16}
{'loss': 3.4762, 'learning_rate': 0.0003611528284345277, 'epoch': 2.16}
{'loss': 3.4523, 'learning_rate': 0.0003618679825502396, 'epoch': 2.17}
{'loss': 3.3967, 'learning_rate': 0.00036258313666595154, 'epoch': 2.17}
{'loss': 3.1689, 'learning_rate': 0.00036329829078166347, 'epoch': 2.18}
{'loss': 3.2996, 'learning_rate': 0.0003640134448973754, 'epoch': 2.18}
{'loss': 3.2869, 'learning_rate': 0.0003647285990130874, 'epoch': 2.19}
{'loss': 3.3603, 'learning_rate': 0.00036544375312879925, 'epoch': 2.19}
{'loss': 3.2873, 'learning_rate': 0.00036615890724451123, 'epoch': 2.2}
{'loss': 3.3579, 'learning_rate': 0.00036687406136022316, 'epoch': 2.2}
{'loss': 3.3751, 'learning_rate': 0.0003675892154759351, 'epoch': 2.21}
{'loss': 3.521, 'learning_rate': 0.000368304369591647, 'epoch': 2.21}
{'loss': 3.2568, 'learning_rate': 0.00036901952370735894, 'epoch': 2.22}
{'loss': 3.0264, 'learning_rate': 0.00036973467782307087, 'epoch': 2.23}
{'loss': 3.3296, 'learning_rate': 0.00037044983193878285, 'epoch': 2.23}
{'loss': 3.3944, 'learning_rate': 0.00037116498605449473, 'epoch': 2.24}
{'loss': 3.4087, 'learning_rate': 0.0003718801401702067, 'epoch': 2.24}
{'loss': 3.3331, 'learning_rate': 0.00037259529428591864, 'epoch': 2.25}
{'loss': 3.3714, 'learning_rate': 0.00037331044840163057, 'epoch': 2.25}
{'loss': 3.38, 'learning_rate': 0.0003740256025173425, 'epoch': 2.26}
{'loss': 3.3626, 'learning_rate': 0.0003747407566330544, 'epoch': 2.26}
{'loss': 3.3623, 'learning_rate': 0.0003754559107487664, 'epoch': 2.27}
{'eval_loss': 4.0000739097595215, 'eval_runtime': 16382.8618, 'eval_samples_per_second': 5.924, 'eval_steps_per_second': 0.015, 'epoch': 2.27}
{'loss': 3.3951, 'learning_rate': 0.00037617106486447833, 'epoch': 2.27}
{'loss': 3.3281, 'learning_rate': 0.0003768862189801902, 'epoch': 2.28}
{'loss': 3.4479, 'learning_rate': 0.0003776013730959022, 'epoch': 2.28}
{'loss': 3.4016, 'learning_rate': 0.0003783165272116141, 'epoch': 2.29}
{'loss': 3.3222, 'learning_rate': 0.0003790316813273261, 'epoch': 2.3}
{'loss': 3.3688, 'learning_rate': 0.00037974683544303797, 'epoch': 2.3}
{'loss': 3.45, 'learning_rate': 0.0003804619895587499, 'epoch': 2.31}
{'loss': 3.2963, 'learning_rate': 0.0003811771436744619, 'epoch': 2.31}
